"name"	"taxRank"	"taxID"	"Max"	"porechoped_A_16S01.cladeReads.."	"porechoped_A_16S02.cladeReads.."	"porechoped_A_16S03.cladeReads.."	"porechoped_A_16S04.cladeReads.."	"porechoped_A_16S05.cladeReads.."	"porechoped_A_16S06.cladeReads.."	"porechoped_A_16S07.cladeReads.."	"porechoped_A_16S08.cladeReads.."	"porechoped_A_16S09.cladeReads.."	"porechoped_A_16S10.cladeReads.."	"porechoped_A_16S11.cladeReads.."	"porechoped_A_16S12.cladeReads.."	"porechoped_B_16S01.cladeReads.."	"porechoped_B_16S02.cladeReads.."	"porechoped_B_16S03.cladeReads.."	"porechoped_B_16S04.cladeReads.."	"porechoped_B_16S05.cladeReads.."	"porechoped_B_16S06.cladeReads.."	"porechoped_B_16S07.cladeReads.."	"porechoped_B_16S08.cladeReads.."	"porechoped_B_16S09.cladeReads.."	"porechoped_B_16S10.cladeReads.."	"porechoped_B_16S11.cladeReads.."	"porechoped_B_16S12.cladeReads.."	"porechoped_C_16S01.cladeReads.."	"porechoped_C_16S02.cladeReads.."	"porechoped_C_16S03.cladeReads.."	"porechoped_C_16S04.cladeReads.."	"porechoped_C_16S05.cladeReads.."	"porechoped_C_16S06.cladeReads.."	"porechoped_C_16S07.cladeReads.."	"porechoped_C_16S08.cladeReads.."	"porechoped_C_16S09.cladeReads.."	"porechoped_C_16S10.cladeReads.."	"porechoped_C_16S11.cladeReads.."	"porechoped_C_16S12.cladeReads.."	"porechoped_C_2_16S01.cladeReads.."	"porechoped_C_2_16S02.cladeReads.."	"porechoped_C_2_16S03.cladeReads.."	"porechoped_C_2_16S04.cladeReads.."	"porechoped_C_2_16S05.cladeReads.."	"porechoped_C_2_16S06.cladeReads.."	"porechoped_C_2_16S07.cladeReads.."	"porechoped_C_2_16S08.cladeReads.."	"porechoped_C_2_16S09.cladeReads.."	"porechoped_C_2_16S10.cladeReads.."	"porechoped_C_2_16S11.cladeReads.."	"porechoped_C_2_16S12.cladeReads.."	"porechoped_D_16S01.cladeReads.."	"porechoped_D_16S02.cladeReads.."	"porechoped_D_16S03.cladeReads.."	"porechoped_D_16S04.cladeReads.."	"porechoped_D_16S05.cladeReads.."	"porechoped_D_16S06.cladeReads.."	"porechoped_D_16S08.cladeReads.."	"lineage"
"[Polyangium] brachysporum"	"S"	413882	0.05342	NA	NA	NA	NA	NA	NA	NA	NA	0.05342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales"
"Candidatus Kinetoplastibacterium blastocrithidii"	"S"	233181	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Kinetoplastibacterium"
"Candidatus Kinetoplastibacterium desouzaii"	"S"	994692	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Kinetoplastibacterium"
"Candidatus Kinetoplastibacterium sorsogonicusi"	"S"	1576550	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Kinetoplastibacterium"
"Candidatus Kinetoplastibacterium oncopeltii"	"S"	994696	0.0517	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.0517	0.01541	0.0508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>Candidatus&nbsp;Kinetoplastibacterium"
"Vitreoscilla sp. C1"	"S"	96942	0.1433	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	0.06608	0.1433	NA	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae>Vitreoscilla"
"Simonsiella muelleri"	"S"	72	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae>Simonsiella"
"Nitrosomonas eutropha"	"S"	916	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae>Nitrosomonas"
"Nitrosomonas ureae"	"S"	44577	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae>Nitrosomonas"
"Methyloversatilis sp. RAC08"	"S"	1842540	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Sterolibacteriaceae>Methyloversatilis"
"Azoarcus communis"	"S"	41977	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Azoarcus"
"Vibrio natriegens"	"S"	691	0.07375	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01299	NA	NA	NA	NA	NA	NA	0.01034	0.02312	0.03387	NA	NA	NA	0.07375	NA	NA	NA	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group"
"Pseudomonas putida"	"S"	303	0.1016	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1016	NA	NA	NA	NA	NA	NA	0.02028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;putida&nbsp;group"
"Candidatus Thiodictyon syntrophicum"	"S"	1166950	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae>Thiodictyon"
"Allochromatium vinosum"	"S"	1049	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Chromatiaceae>Allochromatium"
"Candidatus Evansia muelleri"	"S"	1495769	0.01316	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006455	NA	NA	NA	NA	0.00517	0.007707	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	0.01316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae>Zymobacter&nbsp;group>Candidatus&nbsp;Evansia"
"Aggregatibacter actinomycetemcomitans"	"S"	714	0.1433	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	0.08176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008467	NA	NA	NA	NA	0.04405	0.1433	NA	NA	NA	NA	NA	0.005819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Aggregatibacter"
"Bosea sp. AS-1"	"S"	2015316	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bosea"
"Ehrlichia canis"	"S"	944	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01034	NA	0.008467	NA	NA	NA	NA	NA	NA	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Ehrlichia>canis&nbsp;group"
"Sagittula sp. P11"	"S"	2009329	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sagittula"
"Enterococcus wangshanyuanii"	"S"	2005703	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Lactobacillus sp. D1501"	"S"	2108362	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus kefiranofaciens"	"S"	267818	0.03051	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005877	NA	NA	NA	NA	NA	NA	NA	NA	0.03051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus jensenii"	"S"	109790	0.03051	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007707	NA	NA	NA	0.03051	NA	NA	0.02865	0.01014	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Pediococcus damnosus"	"S"	51663	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Pediococcus"
"Oenococcus oeni"	"S"	1247	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae>Oenococcus"
"Staphylococcus simulans"	"S"	1286	13.04	NA	NA	NA	NA	NA	NA	NA	NA	1.303	NA	NA	NA	NA	NA	NA	NA	NA	4.719	NA	NA	NA	NA	0.02822	NA	NA	NA	NA	NA	NA	NA	0.03051	NA	NA	NA	0.7606	NA	NA	13.04	NA	NA	NA	NA	1.333	NA	NA	NA	NA	0.6445	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus hominis"	"S"	1290	0.5556	NA	NA	NA	NA	NA	NA	NA	NA	0.5556	0.2451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus pseudintermedius"	"S"	283734	0.4016	NA	NA	NA	NA	NA	NA	NA	NA	0.1282	NA	NA	NA	NA	NA	NA	NA	NA	0.4016	NA	NA	NA	NA	NA	NA	NA	0.00517	NA	NA	NA	NA	NA	NA	NA	NA	0.04056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus haemolyticus"	"S"	1283	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	0.0641	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus carnosus"	"S"	1281	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	0.03205	NA	NA	NA	NA	0.003555	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus condimenti"	"S"	70255	0.04958	NA	NA	NA	NA	NA	NA	NA	NA	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007707	0.008467	NA	NA	NA	NA	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus pettenkoferi"	"S"	170573	4.348	NA	NA	NA	NA	NA	NA	NA	NA	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01014	NA	NA	4.348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus simiae"	"S"	308354	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus piscifermentans"	"S"	70258	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus schleiferi"	"S"	1295	0.2008	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	0.2008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus felis"	"S"	46127	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Salinicoccus halodurans"	"S"	407035	0.02865	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02865	NA	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Salinicoccus"
"Bacillus sp. X1(2014)"	"S"	1565991	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus flexus"	"S"	86664	0.4016	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4016	NA	NA	NA	NA	NA	0.06085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Lysinibacillus sphaericus"	"S"	1421	0.05731	NA	NA	NA	NA	NA	NA	NA	NA	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01034	0.007707	0.01693	NA	NA	NA	NA	0.04405	0.05731	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Lysinibacillus"
"Geobacillus thermoleovorans"	"S"	33941	1.333	NA	NA	NA	NA	NA	NA	NA	NA	0.07479	NA	NA	NA	NA	NA	NA	NA	NA	0.1506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	0.09127	NA	NA	NA	NA	0.009699	NA	NA	1.333	NA	NA	NA	NA	0.1157	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus>Geobacillus&nbsp;thermoleovorans&nbsp;group"
"Virgibacillus halodenitrificans"	"S"	1482	0.01653	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Virgibacillus"
"Terribacillus aidingensis"	"S"	586416	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Terribacillus"
"Planococcus maritimus"	"S"	192421	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus"
"Paenibacillus lautus"	"S"	1401	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Aneurinibacillus sp. XH2"	"S"	1450761	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Aneurinibacillus&nbsp;group>Aneurinibacillus"
